"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"glibc","2.34-9-g9acab0bba6a5a57323b1f94bf95b21618a9e5aa4","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.34-9-g9acab0bba6a5a57323b1f94bf95b21618a9e5aa4.tar.gz","https://github.com/bminor/glibc/archive/2.34-9-g9acab0bba6a5a57323b1f94bf95b21618a9e5aa4","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"linux-headers","5.4.163","GPL-2.0","","linux-5.4.163.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v5.x","skeleton-init-common [unknown] skeleton-init-none [unknown]"
"gdb","11.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-11.1.tar.xz","http://ftpmirror.gnu.org/gdb","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"buildroot","toolchains.bootlin.com-2021.11-1","GPL-2.0+","COPYING","not saved","not saved",""
"gcc-final","11.2.0","unknown","","gcc-11.2.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-11.2.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-bison [GPL-3.0+] host-gawk [GPL-3.0+] host-gcc-initial [unknown] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"bison","3.8.2","GPL-3.0+","COPYING","bison-3.8.2.tar.xz","http://ftpmirror.gnu.org/bison","host-m4 [GPL-3.0+] host-skeleton [unknown]"
"m4","1.4.19","GPL-3.0+","COPYING","m4-1.4.19.tar.xz","http://ftpmirror.gnu.org/m4","host-skeleton [unknown]"
"gawk","5.1.0","GPL-3.0+","COPYING","gawk-5.1.0.tar.xz","http://ftpmirror.gnu.org/gawk","host-skeleton [unknown]"
"gcc-initial","11.2.0","unknown","","gcc-11.2.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-11.2.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"binutils","2.37","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.37.tar.xz","http://ftpmirror.gnu.org/binutils","host-skeleton [unknown]"
